pregunta_normalizada,final_pregunta_isAcusatoria
Solicitar que los equipos sean nuevos sin permitir refurbished es excluyente.,1
La entidad debería permitir la participación de productos homologados.,1
El requerimiento de entrega inmediata no considera los tiempos de importación.,1
Solicitar experiencia en mantenimiento cuando el proceso es de compra de bienes es incorrecto.,1
"No se puede pedir que el proveedor tenga productos ya importados, eso es direccionamiento.",1
Solicitar certificados de origen de fábrica es innecesario.,1
Solicitar experiencia en todas las provincias limita la participación de nuevos oferentes.,1
La cantidad de productos solicitados en tan poco tiempo sugiere direccionamiento.,1
El proceso parece estar diseñado para excluir a ciertos oferentes.,1
El tiempo de entrega no permite importar los productos requeridos.,1
El requerimiento de experiencia previa en procesos similares es excluyente.,1
El proceso parece estar diseñado para excluir a ciertos oferentes.,1
Solicitar equipos con características que no existen en el mercado es excluyente.,1
Solicitar experiencia en mantenimiento cuando el proceso es de compra de bienes es incorrecto.,1
La entidad debería permitir la participación de más marcas.,1
El proceso exige condiciones que solo una empresa puede cumplir.,1
Pedir oficinas en ciudades específicas excluye a empresas de otras regiones.,1
El proceso exige condiciones que solo una empresa puede cumplir.,1
Solicitar equipos con características técnicas exactas de una marca es direccionamiento.,1
El presupuesto referencial es tan bajo que no cubre ni los costos básicos.,1
La entidad debería ampliar el plazo para permitir más participación.,1
La entidad debería permitir la participación de productos homologados.,1
El proceso exige características técnicas que no son necesarias para el objeto del contrato.,1
El proceso no permite la participación de empresas pequeñas.,1
El proceso exige condiciones que no están justificadas técnicamente.,1
"No se puede exigir marcas específicas en procesos públicos, esto viola la ley.",1
"No se puede pedir que el proveedor tenga productos ya importados, eso es direccionamiento.",1
El proceso fue publicado con errores en los pliegos.,1
Solicitar que los equipos sean nuevos sin permitir refurbished es excluyente.,1
El proceso no permite la participación de empresas pequeñas.,1
El proceso fue publicado con errores en los pliegos.,1
Solicitar experiencia en mantenimiento cuando el proceso es de compra de bienes es incorrecto.,1
El concurso parece estar diseñado para una empresa en particular.,1
La entidad debería permitir cartas de compromiso en lugar de requisitos excluyentes.,1
El concurso parece favorecer a la empresa que siempre gana estos procesos.,1
El proceso no permite la participación de empresas pequeñas.,1
La entidad debería permitir cartas de compromiso en lugar de requisitos excluyentes.,1
El proceso parece estar diseñado para excluir a ciertos oferentes.,1
La entidad debería permitir la participación de productos homologados.,1
La cantidad de productos solicitados en tan poco tiempo sugiere direccionamiento.,1
La cantidad de productos solicitados en tan poco tiempo sugiere direccionamiento.,1
La cantidad de productos solicitados en tan poco tiempo sugiere direccionamiento.,1
El requerimiento de oficinas físicas en varias ciudades es innecesario.,1
No se puede exigir que el proveedor tenga experiencia con la entidad contratante.,1
El proceso parece estar armado para una empresa con productos en stock.,1
El proceso exige condiciones que no están en los pliegos.,1
El proceso parece estar diseñado para excluir a ciertos oferentes.,1
"El proceso fue lanzado con poco tiempo de anticipación, lo que impide una oferta adecuada.",1
La entidad no responde a las preguntas planteadas en el portal.,1
El proceso exige características técnicas que no son necesarias para el objeto del contrato.,1
Solicitar equipos con características que no existen en el mercado es excluyente.,1
Solicitar certificados de origen de fábrica es innecesario.,1
El presupuesto referencial es tan bajo que no cubre ni los costos básicos.,1
Solicitar experiencia en mantenimiento cuando el proceso es de compra de bienes es incorrecto.,1
La exigencia de certificados técnicos internacionales limita la participación local.,1
No se puede exigir experiencia en venta de maquinaria si el objeto no lo requiere.,1
Solicitar personal con experiencia en áreas no relacionadas es excluyente.,1
La cantidad de productos solicitados en tan poco tiempo sugiere direccionamiento.,1
El proceso parece estar armado para una empresa con productos en stock.,1
La exigencia de certificados técnicos internacionales limita la participación local.,1
La solicitud de certificados de fábrica es discriminatoria y favorece a ciertos proveedores.,1
Solicitar equipos con características técnicas exactas de una marca es direccionamiento.,1
El requerimiento de certificaciones extranjeras limita a los productores nacionales.,1
El requerimiento de muestras físicas en esta etapa es innecesario y limita la participación.,1
"Por qué exigen características que solo una marca específica puede cumplir, esto parece direccionado.",1
El concurso parece favorecer a la empresa que siempre gana estos procesos.,1
"El proceso fue lanzado con poco tiempo de anticipación, lo que impide una oferta adecuada.",1
La entidad debería permitir la participación de más marcas.,1
